X,Y,Z
34.04,-131.52,1015.77
34.53,-130.91,1015.53
35.01,-131.03,1015.77
34.65,-131.76,1016.26
34.89,-131.52,1016.02
34.04,-131.27,1015.77
34.40,-131.88,1016.26
33.92,-131.03,1015.89
33.92,-131.03,1015.41
34.16,-131.76,1016.38
34.53,-131.03,1015.53
35.01,-131.76,1016.26
34.89,-131.64,1015.77
34.65,-130.78,1014.67
34.89,-131.76,1016.02
34.28,-131.39,1015.53
34.53,-130.91,1015.41
34.04,-131.64,1016.75
34.28,-131.15,1016.26
34.77,-131.15,1016.50
34.53,-131.52,1016.02
34.53,-130.78,1015.53
34.89,-131.76,1015.53
34.16,-130.78,1015.28
33.18,-130.78,1015.65
33.43,-131.52,1015.53
