X,Y,Z
13.66,105.04,1027.0
16.59,94.18,1027.73
12.2,80.52,1028.46
10.49,72.71,1026.63
5.0,51.73,1020.41
2.68,45.38,1018.82
-4.15,48.92,1019.92
-10.86,52.95,1017.24
-12.93,50.26,1015.53
-18.54,52.83,1015.77
-17.57,56.97,1008.82
-17.08,61.98,1005.4
-14.4,67.59,1004.55
-11.22,73.93,999.06
-8.3,80.03,997.96
-9.27,81.25,998.69
-12.44,89.06,1005.52
-13.42,93.94,1008.57
-12.08,100.53,1010.4
-10.49,101.63,1012.23
-14.64,101.5,1018.46
-16.35,101.99,1022.36
-22.94,102.72,1028.83
-26.11,101.99,1027.48
-19.64,97.23,1019.92
-14.64,94.31,1026.63
-10.49,89.91,1029.44
-9.52,88.08,1028.22
-15.98,88.82,1012.97
-20.62,89.06,1003.21
-27.21,86.5,1002.84
-24.64,80.03,1013.33
-16.84,78.32,1016.75
-13.79,78.08,1016.63
-15.62,78.81,1018.7
-18.79,76.62,1028.58
-12.32,75.15,1039.44
-1.1,73.81,1045.91
-0.98,72.96,1046.64
-5.12,73.44,1043.71
-5.12,71.98,1044.56
-6.95,70.76,1043.1
-10.74,66.25,1036.88
-10.98,63.07,1031.63
-1.71,66.98,1031.02
5.49,72.35,1025.29
8.3,75.76,1023.58
6.47,78.93,1017.85
8.78,84.55,1016.63
9.64,86.38,1018.94
13.18,89.3,1019.92
17.45,93.57,1017.36
20.25,94.43,1014.67
18.18,94.92,1009.43
21.47,96.14,1004.06
20.62,97.36,1000.16
18.3,93.09,986.0
18.79,88.94,985.15
21.72,86.99,984.66
11.47,82.59,981.61
4.15,79.06,975.63
3.66,76.86,971.0
0.24,75.15,969.9
0.49,75.15,973.32
6.59,74.91,976.49
9.39,75.88,976.49
9.76,74.18,975.88
9.76,72.22,978.93
9.39,68.81,982.95
5.25,66.12,984.78
6.71,63.44,985.52
7.81,66.0,987.59
4.64,64.54,999.55
3.9,62.22,1007.23
-1.95,63.56,1020.41
-3.78,64.42,1022.73
-3.05,64.66,1012.36
0.12,64.17,1012.36
4.64,64.42,1031.02
11.83,63.68,1038.1
21.35,71.37,1034.8
19.89,79.06,1019.19
17.81,81.37,1015.41
13.66,80.03,1012.97
11.59,87.35,1006.62
10.86,90.28,999.55
6.34,91.74,988.2
3.9,94.55,986.74
-1.95,106.02,987.22
0.85,103.21,975.02
0.37,100.53,972.1
5.61,101.99,974.54
9.27,101.99,974.78
15.49,98.45,976.73
10.25,91.5,973.07
3.66,81.86,971.97
-2.68,74.3,974.78
-8.3,71.74,976.73
-22.2,67.83,973.68
-24.28,62.71,971.12
-26.96,56.49,974.54
-32.09,50.75,978.56
-35.75,53.92,975.39
-35.87,53.8,968.92
-39.53,54.53,965.51
-48.8,55.63,967.46
-53.92,62.34,966.85
-55.02,69.66,953.92
-47.21,69.3,961.6
-40.99,69.42,970.63
-35.75,74.66,975.88
-26.6,79.79,982.1
-20.37,80.28,985.52
-11.22,79.42,996.98
1.83,84.06,1009.18
15.37,84.79,1018.46
19.64,80.64,1022.48
24.52,79.91,1028.83
22.57,75.88,1030.9
24.64,75.27,1033.1
32.7,69.78,1032.12
35.62,69.17,1034.8
45.63,72.1,1037.37
48.31,73.57,1036.63
52.34,75.52,1036.27
53.56,79.3,1037.73
55.14,80.52,1037.73
58.93,82.47,1038.46
62.46,81.5,1036.27
65.39,84.67,1035.05
65.76,86.38,1029.44
65.64,86.01,1025.53
61.24,85.52,1023.21
59.78,83.57,1021.63
58.68,82.35,1020.9
56.85,81.98,1018.58
49.04,82.35,1010.89
37.94,79.79,1000.77
30.99,78.2,996.01
31.84,78.45,999.18
39.04,78.08,998.94
42.7,79.42,993.69
44.29,79.3,991.13
43.31,77.1,993.32
40.5,77.96,994.54
39.04,77.96,993.93
39.77,78.45,992.96
43.43,77.1,991.74
44.16,78.93,993.81
42.21,78.08,991.74
40.02,78.81,991.13
33.79,76.98,987.35
35.14,76.49,987.47
37.94,78.69,988.44
36.48,80.28,986.0
35.62,77.59,985.76
38.19,77.84,988.44
38.92,78.81,989.42
37.7,78.93,988.93
37.58,78.93,988.69
39.53,78.69,988.93
39.77,78.81,990.4
37.7,78.32,992.1
37.7,77.47,993.69
39.77,76.13,995.76
36.97,71.74,996.01
36.84,71.37,999.06
36.23,71.74,1000.52
34.4,70.15,1002.96
33.92,69.05,1003.69
36.48,70.76,1008.45
37.58,70.52,1011.14
36.36,69.66,1014.55
34.28,70.52,1015.89
30.5,70.76,1017.24
29.65,70.03,1017.97
30.01,70.27,1018.58
31.35,72.83,1018.82
32.45,75.4,1018.21
31.72,75.03,1016.75
32.09,76.13,1017.48
33.79,76.86,1018.09
33.43,77.96,1017.97
30.01,77.96,1015.53
25.86,78.81,1013.21
27.33,78.08,1013.33
29.04,80.03,1014.55
31.35,78.81,1015.77
33.79,79.91,1012.23
33.43,81.25,1007.96
31.23,77.1,1006.38
30.62,76.37,1009.43
30.01,76.25,1006.26
28.79,75.76,1002.6
30.01,72.59,999.42
30.87,72.96,999.91
31.84,72.22,1002.96
30.62,71.13,1003.57
31.35,70.76,1003.45
35.75,70.27,1006.74
38.19,69.42,1010.65
36.36,70.76,1011.99
34.4,70.03,1009.31
33.55,68.56,1008.57
33.55,66.61,1010.04
34.65,67.71,1010.89
36.84,69.54,1011.99
37.58,69.42,1006.26
37.58,70.27,1004.91
38.92,71.0,1005.89
36.84,72.1,1006.5
33.55,74.42,1005.89
31.48,76.01,1004.91
30.74,74.66,1006.87
29.4,75.64,1008.57
28.3,76.62,1010.04
26.84,75.03,1010.4
26.11,74.42,1011.14
26.72,74.3,1014.19
29.28,72.96,1015.65
30.62,70.64,1019.19
30.5,68.69,1023.34
30.13,67.22,1023.46
30.99,66.12,1018.21
30.01,64.29,1017.97
35.14,63.56,1020.65
37.33,65.15,1019.43
39.16,66.25,1016.26
39.28,67.1,1016.26
40.14,65.51,1017.48
40.87,65.88,1020.53
40.38,67.1,1021.51
39.77,67.71,1020.53
41.6,66.61,1020.9
45.87,69.05,1022.6
48.68,69.78,1024.19
48.31,70.27,1026.02
50.87,68.32,1027.36
53.8,69.05,1029.31
55.14,69.54,1030.29
54.05,68.56,1029.19
48.31,66.73,1027.0
47.7,66.61,1027.24
48.56,66.12,1027.73
47.09,66.86,1028.83
42.58,66.37,1027.24
39.77,66.73,1026.51
39.04,65.88,1025.78
37.82,65.03,1026.63
34.65,66.61,1027.24
33.18,66.61,1026.14
32.82,65.88,1023.09
32.94,65.64,1023.21
33.31,65.88,1025.04
32.94,65.27,1025.29
32.82,64.66,1025.04
32.21,65.03,1020.9
32.45,65.39,1019.68
31.48,63.93,1020.41
26.84,64.05,1020.29
23.06,63.44,1017.6
23.55,60.88,1013.82
23.55,60.27,1013.58
24.89,60.88,1015.04
25.86,59.78,1015.65
27.33,58.8,1014.06
27.45,59.78,1012.6
29.65,58.44,1014.67
30.74,57.83,1017.36
28.79,57.95,1016.38
26.47,56.49,1015.77
25.5,54.53,1016.5
22.94,54.78,1016.63
21.11,54.41,1016.26
19.52,53.92,1014.06
18.67,54.05,1013.58
18.42,54.53,1013.82
17.2,54.05,1016.63
16.1,55.14,1016.75
11.96,55.51,1016.26
9.03,53.68,1016.38
10.98,53.68,1019.07
10.86,53.19,1020.16
11.22,53.19,1020.04
13.66,54.05,1019.68
14.52,55.14,1020.16
14.64,53.19,1018.7
14.88,52.95,1018.33
13.66,52.83,1016.99
9.76,52.22,1014.55
8.54,50.75,1013.21
9.15,50.63,1012.36
10.25,51.24,1012.36
11.59,50.63,1011.38
15.01,50.63,1011.87
17.2,51.24,1010.89
18.91,50.26,1013.09
19.76,48.56,1012.11
19.03,49.17,1012.36
17.57,47.34,1009.92
17.57,45.63,1008.57
19.28,41.24,1009.92
20.13,38.92,1011.38
20.86,35.14,1010.4
21.23,31.72,1011.38
21.72,29.28,1012.6
22.57,25.38,1016.26
23.42,20.74,1019.55
22.94,18.91,1022.12
23.42,13.66,1022.36
23.67,10.61,1023.82
21.96,5.73,1027.61
20.62,1.71,1031.88
21.47,-0.49,1033.71
23.06,-4.88,1033.22
22.81,-7.81,1034.68
25.38,-12.69,1039.81
28.79,-15.01,1043.22
26.35,-14.88,1041.39
24.4,-17.08,1039.68
26.11,-20.25,1040.78
26.35,-20.86,1041.64
25.5,-21.35,1039.93
26.11,-22.2,1037.12
27.82,-22.57,1033.22
28.79,-23.91,1032.12
30.99,-25.01,1033.46
30.99,-25.13,1032.85
27.57,-25.38,1030.05
24.4,-27.21,1029.44
24.4,-29.77,1028.95
24.52,-32.09,1027.36
23.42,-35.87,1024.31
22.69,-37.21,1023.21
22.45,-40.14,1021.75
23.06,-40.99,1021.51
24.28,-45.99,1020.04
24.64,-48.68,1020.41
23.91,-50.51,1019.92
22.2,-52.95,1018.33
22.57,-55.39,1017.11
25.38,-56.97,1016.26
25.99,-59.05,1017.97
28.43,-60.88,1019.92
30.13,-61.61,1020.53
33.92,-61.73,1022.36
35.38,-62.34,1023.7
38.06,-63.81,1026.26
39.28,-63.44,1028.95
39.53,-63.44,1029.56
41.72,-64.54,1032.36
46.12,-66.0,1034.07
48.56,-64.54,1036.63
49.65,-62.71,1036.51
49.65,-62.46,1034.56
52.7,-62.22,1034.32
54.78,-62.22,1033.71
55.75,-60.39,1032.97
56.36,-59.29,1032.36
56.73,-56.24,1032.0
57.1,-56.12,1032.36
59.54,-54.41,1034.93
60.88,-55.14,1034.56
64.17,-53.92,1036.39
67.1,-53.68,1036.76
69.17,-53.92,1036.76
70.76,-52.22,1036.27
71.49,-52.46,1034.32
71.0,-52.34,1032.85
69.66,-52.7,1031.63
65.76,-52.58,1027.97
62.34,-54.41,1025.78
62.1,-55.39,1026.02
62.22,-57.58,1026.87
61.24,-57.58,1026.14
59.29,-57.22,1021.63
60.51,-57.22,1020.29
62.95,-57.71,1025.04
64.78,-57.58,1028.46
67.34,-56.97,1028.46
67.59,-55.63,1028.22
65.27,-56.36,1028.09
64.66,-56.97,1028.7
65.76,-59.9,1029.44
65.51,-61.12,1031.39
64.9,-61.49,1031.02
65.39,-62.59,1029.8
65.88,-66.37,1031.39
66.61,-66.12,1035.9
68.32,-65.64,1037.73
69.3,-67.47,1036.88
67.34,-69.3,1038.22
65.15,-69.54,1038.59
65.64,-68.93,1038.46
67.22,-69.05,1036.51
69.3,-70.52,1037.61
70.03,-70.76,1038.22
70.03,-72.59,1036.76
68.32,-75.27,1033.95
67.83,-75.88,1034.93
69.05,-76.98,1035.54
71.49,-78.32,1036.51
70.88,-78.81,1037.37
69.17,-79.18,1037.0
66.0,-78.08,1037.37
66.0,-78.93,1037.49
67.83,-80.28,1039.81
69.17,-82.72,1038.22
69.78,-81.74,1038.34
67.83,-83.33,1035.29
65.51,-84.79,1032.85
62.71,-85.77,1031.14
61.61,-85.77,1028.95
61.49,-87.35,1026.14
59.78,-88.94,1025.17
59.29,-88.69,1025.17
57.95,-89.67,1025.29
56.97,-90.16,1024.56
57.46,-90.52,1023.7
57.1,-92.48,1026.14
57.1,-93.94,1026.63
57.1,-96.26,1027.61
55.88,-98.09,1030.17
57.22,-98.7,1033.58
59.78,-102.36,1035.54
58.8,-103.09,1038.1
57.71,-104.19,1038.83
53.68,-105.41,1039.56
50.87,-106.63,1040.54
48.68,-108.82,1042.61
50.63,-109.68,1043.1
52.22,-110.53,1043.95
52.34,-111.14,1046.76
49.53,-110.65,1045.3
44.9,-109.8,1045.54
42.33,-110.41,1045.42
40.87,-109.56,1043.95
42.33,-106.14,1042.25
43.19,-105.9,1039.68
41.48,-104.68,1039.93
38.31,-101.99,1041.03
36.36,-101.26,1040.78
34.28,-100.28,1041.15
35.75,-99.67,1041.15
35.87,-99.31,1040.17
33.67,-99.19,1038.46
32.45,-99.8,1037.49
29.52,-100.16,1035.29
28.67,-99.43,1032.61
28.91,-100.65,1029.92
28.06,-101.14,1029.19
29.04,-102.24,1028.95
29.04,-102.6,1028.7
26.72,-103.09,1027.36
25.13,-103.82,1028.46
21.11,-107.12,1028.95
19.28,-110.53,1031.39
17.81,-114.44,1030.53
17.32,-117.24,1033.34
17.93,-119.93,1034.32
17.32,-122.12,1034.32
19.76,-122.98,1033.83
22.2,-125.05,1035.05
21.47,-129.08,1038.59
20.74,-130.3,1041.39
17.81,-130.3,1043.95
16.35,-130.91,1045.17
12.93,-132.74,1047.25
11.47,-135.42,1049.57
14.03,-135.66,1051.64
15.25,-135.79,1051.4
14.4,-135.79,1051.52
9.03,-136.64,1054.32
7.56,-135.91,1054.32
5.61,-134.2,1054.57
5.61,-134.32,1054.57
6.1,-133.35,1054.32
6.22,-131.52,1052.62
6.34,-131.39,1051.64
8.3,-128.83,1052.13
10.86,-128.1,1051.88
12.69,-127.86,1050.79
11.35,-128.59,1047.86
10.98,-126.27,1047.49
13.91,-125.42,1048.47
13.42,-126.03,1048.96
11.59,-125.66,1048.22
8.3,-123.71,1047.37
6.59,-123.46,1047.37
5.86,-124.07,1046.03
5.86,-124.81,1043.83
3.17,-124.93,1040.78
1.83,-124.2,1039.56
0.49,-118.83,1039.44
0.73,-115.9,1040.42
0.98,-114.31,1040.9
1.71,-112.97,1040.17
3.05,-112.12,1039.44
4.39,-111.26,1039.56
5.98,-109.56,1040.17
6.47,-108.34,1040.05
7.08,-106.87,1039.93
7.69,-107.48,1037.85
8.91,-107.48,1037.37
9.27,-106.26,1036.27
8.78,-105.41,1037.12
8.05,-104.68,1039.93
8.42,-104.8,1040.78
9.88,-103.94,1041.88
10.0,-103.7,1042.25
10.0,-104.07,1043.34
8.66,-104.43,1042.61
4.76,-105.41,1040.66
