X,Y,Z
218.75,-140.06,1001.38
217.77,-128.83,1004.43
198.13,-137.86,986.00
211.18,-146.77,996.86
210.57,-130.05,1001.50
200.69,-141.03,988.69
216.06,-141.64,1001.25
203.25,-124.68,993.20
208.86,-137.37,995.28
217.65,-130.66,1005.04
194.96,-125.17,988.57
214.72,-131.27,1006.50
208.50,-121.15,1004.43
197.88,-135.91,993.45
212.40,-138.35,1005.65
212.65,-127.12,1008.21
193.86,-131.64,989.66
214.35,-131.15,1008.57
203.50,-121.02,1001.62
199.10,-135.66,993.32
209.96,-125.90,1005.16
195.44,-123.71,994.30
207.40,-134.57,1001.86
198.13,-119.19,997.23
191.05,-128.47,991.01
202.76,-137.62,999.18
203.25,-124.07,1001.38
198.74,-137.98,995.15
211.06,-134.81,1006.38
192.39,-124.32,994.54
195.20,-134.81,994.06
207.89,-126.51,1004.43
194.47,-137.37,993.08
208.62,-129.56,1005.28
194.22,-135.91,990.40
208.13,-140.06,1001.01
209.47,-131.03,1005.04
193.25,-137.86,989.91
206.91,-144.20,999.18
208.99,-135.91,1004.06
192.27,-140.79,992.10
207.03,-134.44,1004.30
193.74,-130.05,994.18
207.16,-144.33,1001.62
192.27,-135.30,992.84
205.45,-149.82,998.69
187.88,-137.37,991.98
193.74,-145.42,993.93
206.30,-142.62,1004.30
188.37,-139.20,992.23
196.91,-150.43,997.35
190.69,-141.28,998.69
186.17,-150.30,990.64
199.23,-147.38,1005.16
188.61,-152.87,992.59
201.91,-150.91,1002.72
185.93,-143.47,991.98
201.06,-157.38,1004.55
181.41,-165.43,992.47
193.49,-174.22,999.91
195.69,-164.70,1003.94
183.85,-170.56,991.49
196.91,-171.65,1002.60
180.32,-163.36,994.30
185.44,-176.78,993.93
188.98,-166.77,1001.86
186.90,-179.10,995.28
197.88,-173.48,1004.79
180.07,-167.14,989.42
199.10,-170.19,999.30
180.44,-168.48,986.74
192.03,-178.73,995.76
196.42,-173.24,1006.74
183.49,-166.16,997.59
199.35,-181.05,996.86
196.05,-172.02,995.89
189.10,-188.49,987.10
201.30,-188.61,1000.64
183.49,-179.71,995.28
203.62,-186.66,1010.89
186.66,-180.32,996.74
207.89,-181.05,1008.21
196.66,-174.22,998.33
193.98,-186.42,988.44
212.40,-186.66,999.18
201.06,-178.85,989.18
203.25,-187.15,983.44
220.82,-173.00,994.18
213.87,-178.24,976.00
228.87,-181.54,983.56
214.23,-170.68,972.10
233.51,-183.37,983.20
229.36,-170.80,985.52
223.87,-180.56,978.44
230.58,-170.43,988.81
218.38,-175.31,977.22
236.68,-184.10,988.32
229.36,-170.19,987.96
227.65,-178.61,981.73
238.14,-174.09,990.76
218.38,-172.63,972.34
227.16,-184.34,973.56
225.21,-171.53,977.46
225.21,-184.95,978.07
218.87,-172.02,985.15
209.35,-179.10,979.05
224.85,-181.05,996.62
210.33,-174.70,990.15
203.25,-183.00,983.69
217.40,-181.78,998.45
202.76,-177.02,990.03
210.57,-194.47,991.01
210.82,-186.17,996.25
193.49,-193.74,989.79
201.79,-186.66,1002.60
186.90,-184.95,991.13
200.69,-194.96,1001.50
181.78,-186.17,990.88
187.39,-197.27,991.13
189.47,-187.51,997.23
177.14,-192.64,988.44
191.91,-196.42,1004.79
180.68,-186.66,999.42
185.32,-198.86,996.01
191.30,-190.69,1003.33
172.75,-193.61,989.18
186.66,-191.42,1003.45
171.29,-197.27,990.52
182.76,-189.47,1003.33
169.09,-187.03,993.45
172.14,-197.40,992.10
185.32,-197.88,1001.86
167.14,-188.61,991.01
173.00,-199.23,992.84
176.90,-187.39,999.42
165.80,-191.30,989.18
183.49,-193.98,1004.79
165.55,-190.56,990.27
176.66,-198.13,996.01
171.17,-184.71,997.23
178.12,-201.18,996.74
167.87,-186.17,994.18
166.53,-194.96,990.52
180.44,-197.88,999.91
166.65,-186.42,991.98
168.36,-198.01,990.64
176.66,-191.17,1001.01
163.48,-191.91,990.03
181.29,-198.86,1002.47
163.24,-188.98,991.25
182.15,-193.25,1004.43
172.02,-184.59,999.42
173.97,-201.06,995.28
181.54,-194.47,1002.72
163.60,-193.13,988.20
175.92,-199.71,996.74
167.51,-184.71,996.37
164.21,-194.47,990.64
178.97,-192.15,1003.21
165.07,-188.73,993.20
178.85,-200.57,999.42
164.33,-187.15,991.62
167.38,-197.52,990.88
174.70,-188.12,1001.62
168.60,-202.40,992.84
179.71,-199.84,1002.35
160.92,-192.64,990.15
171.65,-201.42,995.15
168.85,-186.78,996.62
161.89,-194.35,988.93
178.85,-194.47,1003.33
165.43,-188.86,995.03
175.92,-202.76,999.18
163.24,-189.34,993.20
177.88,-200.57,1000.64
162.26,-189.34,991.86
166.77,-201.06,991.37
179.34,-201.06,1001.13
161.04,-194.10,989.30
168.85,-204.23,992.35
179.46,-199.84,1002.35
160.80,-193.49,989.66
179.58,-195.69,1003.21
167.63,-188.12,996.62
173.73,-204.59,997.35
164.46,-191.30,994.79
161.77,-199.96,989.42
177.39,-192.52,1002.60
164.46,-198.37,989.91
178.24,-201.06,1000.16
175.68,-191.66,1001.86
165.68,-203.62,990.64
178.49,-203.25,1001.25
161.16,-192.64,990.88
168.60,-202.03,993.08
171.41,-188.37,999.79
171.04,-202.52,994.54
180.19,-197.40,1003.08
161.28,-194.10,989.30
180.32,-193.25,1003.69
162.87,-194.22,988.93
175.68,-201.30,997.11
179.34,-193.86,1003.45
165.68,-189.59,994.79
176.17,-203.50,999.55
163.48,-189.95,993.81
165.19,-199.10,990.27
177.27,-189.59,1000.64
168.12,-200.93,989.91
180.19,-200.81,1000.52
161.53,-193.49,990.64
179.83,-197.88,1004.55
162.26,-192.27,990.27
173.61,-200.57,995.03
181.54,-194.22,1002.60
163.60,-195.08,988.69
175.80,-201.54,997.47
166.65,-187.15,995.03
164.94,-196.30,989.30
179.34,-190.56,1001.74
166.41,-199.59,989.91
175.92,-192.27,1001.74
162.87,-191.54,991.62
181.17,-200.69,1000.89
163.11,-192.27,988.69
171.17,-201.67,991.62
181.29,-196.54,1001.62
163.24,-193.25,989.66
173.73,-201.91,994.54
168.60,-187.39,997.23
163.72,-195.20,989.42
179.95,-192.52,1002.11
164.82,-199.35,989.91
176.78,-193.37,1001.99
166.16,-201.06,991.01
179.46,-201.30,1000.89
162.26,-192.03,989.42
168.97,-202.89,990.15
180.07,-201.42,1000.40
160.43,-196.18,989.54
178.61,-199.84,1003.69
167.26,-191.78,998.20
172.14,-207.16,995.52
164.21,-193.86,994.42
160.43,-203.01,987.22
175.19,-199.47,1000.28
160.55,-203.25,986.00
173.73,-206.18,996.13
157.50,-196.54,989.91
160.67,-209.11,988.20
171.17,-209.60,997.72
151.40,-203.01,986.49
161.53,-205.08,1002.72
149.21,-197.88,999.55
155.92,-213.01,1001.86
140.18,-201.67,991.74
143.35,-212.16,992.59
145.91,-202.15,999.42
156.28,-216.92,997.96
143.35,-208.38,990.88
146.89,-217.89,994.06
150.79,-212.28,1004.43
132.86,-215.21,996.50
142.98,-215.21,1009.79
133.96,-211.79,994.30
145.91,-216.79,1001.74
137.62,-207.28,995.15
151.04,-209.35,1006.74
138.84,-211.79,995.15
149.45,-211.06,1006.01
136.40,-206.55,995.52
148.35,-201.30,1009.18
137.25,-200.69,997.59
142.37,-209.11,998.45
139.20,-199.35,1000.16
137.13,-208.50,994.54
142.25,-201.54,1002.96
133.71,-206.18,993.32
144.81,-201.30,1007.11
137.74,-206.18,996.50
139.81,-197.52,999.67
144.57,-209.23,1000.89
142.01,-200.32,1003.08
136.88,-207.89,997.72
144.69,-201.18,1007.23
135.42,-196.66,998.94
144.69,-204.84,1004.91
140.79,-196.54,1004.55
138.96,-206.67,1000.03
133.47,-195.69,998.57
134.32,-204.47,995.76
137.98,-195.57,1003.94
139.57,-206.30,1001.62
131.27,-196.42,997.11
135.18,-203.98,997.59
144.45,-200.08,1007.23
131.52,-201.06,994.42
142.74,-203.01,1004.30
130.30,-198.13,993.57
138.47,-204.72,999.55
132.74,-194.47,997.84
134.69,-202.52,996.25
136.88,-191.66,1002.72
141.52,-200.32,1003.69
131.27,-192.27,996.74
145.06,-193.37,1009.18
134.44,-190.32,1000.89
132.61,-198.86,997.23
138.10,-190.44,1006.50
130.42,-195.20,996.50
144.20,-191.78,1008.21
133.47,-190.32,998.57
145.55,-196.05,1007.60
132.00,-195.93,994.67
142.74,-199.84,1002.96
133.47,-191.30,997.59
147.13,-195.81,1007.60
132.98,-196.91,994.54
143.72,-199.96,1003.45
143.59,-191.30,1006.26
138.59,-200.32,997.72
147.13,-195.08,1007.35
133.96,-196.05,994.54
145.42,-198.13,1004.06
133.47,-191.30,995.03
139.69,-199.59,997.59
134.57,-195.69,995.03
146.52,-196.79,1005.04
135.18,-189.10,995.64
149.21,-191.17,1007.23
138.84,-186.66,999.55
136.40,-194.47,994.54
145.06,-187.64,1005.52
135.42,-191.05,995.40
149.08,-191.42,1008.09
138.23,-186.42,1000.03
148.35,-192.88,1006.13
135.30,-188.73,995.40
144.20,-195.57,1000.89
137.13,-187.03,999.18
146.64,-194.71,1007.48
129.08,-190.81,996.37
135.42,-193.86,1003.69
134.44,-184.95,1008.09
126.27,-186.05,998.94
149.45,-190.44,1006.62
144.45,-184.46,1000.89
151.65,-194.59,1002.47
143.23,-198.86,996.25
151.04,-194.47,1005.89
141.76,-188.25,1000.40
149.08,-195.93,1004.43
147.62,-187.03,1005.77
143.84,-196.18,998.57
151.04,-191.54,1007.23
137.13,-196.18,994.54
147.38,-197.52,1005.16
134.44,-188.86,996.01
151.04,-191.78,1009.18
137.37,-192.64,995.89
149.08,-193.74,1006.13
137.13,-190.56,996.37
143.96,-198.98,999.79
149.08,-192.76,1007.48
136.52,-195.08,995.40
148.60,-195.81,1005.77
135.91,-194.47,996.86
142.98,-203.01,1002.11
137.49,-191.30,1003.45
148.72,-200.45,1007.23
135.42,-191.78,996.01
151.52,-191.66,1007.23
141.15,-182.02,1001.13
146.64,-186.29,1004.55
146.52,-176.66,1008.33
136.27,-176.53,997.35
152.87,-180.56,1005.65
144.45,-173.24,1002.11
152.38,-185.44,1002.35
155.18,-178.24,1005.52
152.74,-186.90,994.67
156.40,-176.90,999.42
150.06,-183.49,992.35
149.57,-180.07,995.76
153.23,-187.88,996.50
162.50,-184.10,1006.38
154.45,-178.00,1001.13
159.70,-188.49,1003.08
159.58,-180.80,1006.50
152.87,-189.59,998.20
161.16,-185.32,1007.48
147.13,-185.44,994.06
158.23,-179.22,1005.77
147.50,-180.93,995.89
160.92,-184.46,1008.21
145.55,-186.05,996.50
151.77,-177.51,1007.48
139.45,-179.46,997.35
145.67,-187.51,1000.52
154.57,-183.12,1007.72
146.89,-186.17,993.93
158.84,-178.85,1004.79
149.57,-181.05,994.30
163.85,-181.17,1006.99
151.52,-183.73,994.79
162.99,-183.73,1004.30
149.33,-179.10,993.20
162.75,-179.83,1006.01
151.52,-176.78,997.96
151.16,-185.20,994.79
156.77,-177.14,1003.94
