X_times,Y-amplitude
3.045,1124.9714337917537
3.05,1143.7382736508175
3.055,1160.2033696398216
3.06,1174.2463855456135
3.065,1185.7505566306795
3.07,1194.6037376371114
3.075,1200.6994641267902
3.08,1203.938009783225
3.085,1204.2274234041415
3.09,1201.4845327346632
3.095,1195.6359069381585
3.1,1186.6187738786236
3.105,1174.381891088371
3.11,1158.886369495349
3.115,1140.106446744242
3.12,1118.0302031170747
3.125,1092.6602088853256
3.13,1064.0140886416013
3.135,1032.1249867579356
3.14,997.0419191572087
3.145,958.8299999926544
3.15,917.5705368631108
3.155,873.3609935852618
3.16,826.3148238495546
3.165,776.5611811846908
3.17,724.2445102411193
3.175,669.5240220751197
3.18,612.573053034961
3.185,553.5783042756433
3.19,492.73895784260543
3.195,430.26566619471924
3.2,366.37941502896194
3.205,301.3102639074281
3.21,235.29597466391178
3.215,168.58054296165523
3.22,101.41265297468615
3.225,34.0440784626267
3.23,-33.271944971828965
3.235,-100.28235223627388
3.24,-166.73586408379614
3.245,-232.38456776516517
3.25,-296.9854497513704
3.255,-360.30187118157085
3.26,-422.1049793180281
3.265,-482.175049213182
3.27,-540.3027489974476
3.275,-596.2903201453776
3.28,-649.9526616188072
3.285,-701.1183048899297
3.29,-749.6302664054515
3.295,-795.3467656662939
3.3,-838.141800765519
3.305,-877.9055782070498
3.31,-914.5447989204753
3.315,-947.9828064246284
3.32,-978.1596052943083
3.325,-1005.0317582324329
3.33,-1028.5721684847447
3.335,-1048.7697517998497
3.34,-1065.628999616507
3.345,-1079.1694337012327
3.35,-1089.4249528701025
3.355,-1096.4430749501046
3.36,-1100.2840813131104
3.365,-1101.0200760919188
3.37,-1098.7339762270142
3.375,-1093.5184507003723
3.38,-1085.4748272169709
3.385,-1074.7119823690255
3.39,-1061.3452276569838
3.395,-1045.4951996986526
3.4,-1027.286759644135
3.405,-1006.8479050937021
3.41,-984.3086981274861
3.415,-959.8002152486893
3.42,-933.4535283333869
3.425,-905.398728921631
3.43,-875.7640102221977
3.435,-844.6748211690041
3.44,-812.2531045085019
3.445,-778.6166267574506
3.45,-743.8784030245657
3.455,-708.1462152705393
3.46,-671.5222194994262
3.465,-634.102636204189
